category,final_weight
AB,0.04973917
R,0.071535444
H,0.095126916
2B,0.029254265
3B,0
HR,0.031293353
TB,0.091689
RBI,0.074399029
BA,0.105628177
OBP,0.057525126
SLG,0.10014692
OPS,0.0936626
BB,0.066666667
CS,0.066666667
SB,0.066666667
